id_hogar,id_persona,id_viaje,id_viaje
1,2,1,1
1,2,2,1
2,1,1,1
2,1,2,1
3,1,1,1
3,1,2,1
3,1,3,1
4,1,1,1
4,1,2,1
4,2,1,1
4,2,2,1
5,3,1,1
5,3,2,1
5,3,3,1
5,4,1,1
5,4,2,1
6,1,1,1
6,1,2,1
6,1,3,1
6,1,4,1
6,1,5,1
6,1,6,1
6,1,7,1
6,2,1,1
6,2,2,1
6,2,3,1
6,2,4,1
6,3,1,1
6,3,2,1
6,3,3,1
6,3,4,1
6,4,1,1
6,4,2,1
6,4,3,1
6,5,1,1
6,5,2,1
6,5,3,1
7,1,1,1
7,1,2,1
7,1,3,1
7,1,4,1
7,1,5,1
7,3,1,1
7,3,2,1
7,4,1,1
7,4,2,1
8,2,1,1
8,2,2,1
9,1,1,1
9,1,2,1
9,1,3,1
9,3,1,1
9,3,2,1
9,3,3,1
9,5,1,1
9,5,2,1
9,6,1,1
9,6,2,1
9,7,1,1
9,7,2,1
10,1,1,1
10,1,2,1
10,1,3,1
10,2,1,1
10,2,2,1
10,3,1,1
10,3,2,1
10,4,1,1
10,4,2,1
10,5,1,1
10,5,2,1
12,1,1,1
12,1,2,1
13,2,1,1
13,2,2,1
13,3,1,1
13,3,2,1
17,1,1,1
17,1,2,1
17,1,3,1
17,2,1,1
17,2,2,1
18,1,1,1
18,1,2,1
18,1,3,1
18,1,4,1
18,2,1,1
18,2,2,1
18,3,1,1
18,3,2,1
19,1,1,1
19,1,2,1
20,1,1,1
20,1,2,1
20,1,3,1
20,1,4,1
20,2,1,1
20,2,2,1
21,1,1,1
21,1,2,1
22,1,1,1
22,1,2,1
22,1,3,1
22,1,4,1
22,2,1,1
22,3,1,1
22,3,2,1
22,4,1,1
22,4,2,1
22,4,3,1
22,4,4,1
23,1,1,1
23,1,2,1
28,3,1,1
28,3,2,1
29,1,1,1
29,1,2,1
29,1,3,1
29,1,4,1
29,2,1,1
29,2,2,1
30,2,1,1
30,2,2,1
30,3,1,1
30,3,2,1
30,4,1,1
30,4,2,1
30,5,1,1
30,5,2,1
30,5,3,1
30,5,4,1
30,6,1,1
30,6,2,1
31,1,1,1
31,1,2,1
31,1,3,1
31,1,4,1
31,2,1,1
31,2,2,1
31,3,1,1
31,3,2,1
31,4,1,1
31,4,2,1
32,2,1,1
32,2,2,1
32,2,3,1
32,2,4,1
32,3,1,1
32,3,2,1
32,4,1,1
32,4,2,1
33,1,1,1
33,1,2,1
33,1,3,1
34,1,1,1
34,1,2,1
34,2,1,1
34,2,2,1
35,2,1,1
35,2,2,1
38,1,1,1
38,1,2,1
38,1,3,1
38,1,4,1
38,2,1,1
38,2,2,1
38,2,3,1
38,2,4,1
38,3,1,1
38,3,2,1
38,3,3,1
38,3,4,1
38,4,1,1
38,4,2,1
38,4,3,1
38,4,4,1
38,5,1,1
38,5,2,1
38,5,3,1
38,5,4,1
39,1,1,1
39,1,2,1
40,2,1,1
40,2,2,1
43,2,1,1
43,2,2,1
44,1,1,1
44,1,2,1
44,1,3,1
44,2,1,1
44,2,2,1
45,1,1,1
45,1,2,1
45,1,3,1
45,3,1,1
45,3,2,1
45,4,1,1
45,4,2,1
45,5,1,1
45,5,2,1
46,3,1,1
46,3,2,1
46,4,1,1
46,4,2,1
48,1,1,1
48,1,2,1
48,2,1,1
48,2,2,1
49,1,1,1
49,1,2,1
50,1,1,1
50,1,2,1
51,1,1,1
51,1,2,1
51,6,1,1
51,6,2,1
53,1,1,1
53,1,2,1
54,1,1,1
54,1,2,1
55,1,1,1
55,1,2,1
55,2,1,1
55,2,2,1
56,1,1,1
56,1,2,1
56,1,3,1
56,1,4,1
56,2,1,1
56,2,2,1
56,3,1,1
56,3,2,1
56,4,1,1
56,4,2,1
57,1,1,1
57,1,2,1
57,2,1,1
57,2,2,1
57,4,1,1
57,4,2,1
58,1,1,1
58,1,2,1
58,2,1,1
58,2,2,1
59,1,1,1
59,1,2,1
59,2,1,1
59,2,2,1
59,2,3,1
59,2,4,1
59,3,1,1
59,3,2,1
59,4,1,1
59,4,2,1
59,5,1,1
59,5,2,1
60,1,1,1
60,1,2,1
60,2,1,1
60,2,2,1
61,2,1,1
61,2,2,1
61,3,1,1
61,3,2,1
62,1,1,1
62,1,2,1
62,1,3,1
62,1,4,1
62,2,1,1
62,2,2,1
62,3,1,1
62,3,2,1
62,5,1,1
62,5,2,1
63,1,1,1
63,1,2,1
64,2,1,1
64,2,2,1
66,2,1,1
66,2,2,1
66,3,1,1
66,3,2,1
66,4,1,1
66,4,2,1
66,5,1,1
66,5,2,1
67,1,1,1
67,1,2,1
68,1,1,1
68,1,2,1
68,2,1,1
68,2,2,1
68,3,1,1
68,3,2,1
68,6,1,1
68,6,2,1
69,1,1,1
69,1,2,1
70,1,1,1
70,1,2,1
70,1,3,1
70,1,4,1
70,1,5,1
70,1,6,1
70,2,1,1
70,2,2,1
70,2,3,1
70,2,4,1
70,3,1,1
70,3,2,1
72,1,1,1
72,1,2,1
72,1,3,1
72,1,4,1
72,4,1,1
72,4,2,1
72,4,3,1
72,4,4,1
73,1,1,1
73,1,2,1
74,1,1,1
74,1,2,1
74,1,3,1
74,1,4,1
74,1,5,1
74,1,6,1
74,2,1,1
74,2,2,1
74,3,1,1
74,3,2,1
74,3,3,1
74,3,4,1
74,4,1,1
74,4,2,1
74,5,1,1
74,5,2,1
75,1,1,1
75,1,2,1
75,2,1,1
75,2,2,1
76,1,1,1
76,1,2,1
76,1,3,1
76,1,4,1
78,2,1,1
78,2,2,1
78,3,1,1
78,3,2,1
78,4,1,1
78,4,2,1
79,1,1,1
79,1,2,1
80,2,1,1
80,2,2,1
81,2,1,1
81,2,2,1
81,2,3,1
81,2,4,1
81,3,1,1
81,3,2,1
81,4,1,1
81,4,2,1
82,1,1,1
82,1,2,1
83,1,1,1
83,1,2,1
84,1,1,1
84,1,2,1
85,2,1,1
85,2,2,1
85,3,1,1
85,3,2,1
85,4,1,1
85,4,2,1
86,1,1,1
86,1,2,1
87,1,1,1
87,1,2,1
87,3,1,1
87,3,2,1
87,5,1,1
87,5,2,1
87,6,1,1
87,6,2,1
88,1,1,1
88,1,2,1
89,1,1,1
89,1,2,1
89,2,1,1
89,2,2,1
89,2,3,1
89,2,4,1
89,3,1,1
89,3,2,1
91,1,1,1
91,1,2,1
92,1,1,1
92,1,2,1
93,1,1,1
93,1,2,1
93,1,3,1
93,1,4,1
93,2,1,1
93,2,2,1
93,3,1,1
93,3,2,1
93,4,1,1
93,4,2,1
93,5,1,1
93,5,2,1
93,6,1,1
93,6,2,1
93,6,3,1
93,6,4,1
93,7,1,1
93,7,2,1
93,7,3,1
93,7,4,1
94,3,1,1
94,3,2,1
95,1,1,1
95,1,2,1
95,1,3,1
95,1,4,1
95,4,1,1
95,4,2,1
95,5,1,1
95,5,2,1
95,5,3,1
95,5,4,1
96,1,1,1
96,1,2,1
96,1,3,1
96,1,4,1
96,2,1,1
96,2,2,1
96,2,3,1
96,2,4,1
96,3,1,1
96,3,2,1
97,2,1,1
97,2,2,1
98,1,1,1
98,1,2,1
98,1,3,1
98,1,4,1
98,2,1,1
98,2,2,1
98,3,1,1
98,3,2,1
98,4,1,1
98,4,2,1
98,5,1,1
98,5,2,1
99,1,1,1
99,1,2,1
99,2,1,1
99,2,2,1
100,1,1,1
100,1,2,1
101,1,1,1
101,1,2,1
101,2,1,1
101,2,2,1
101,3,1,1
101,3,2,1
102,1,1,1
102,1,2,1
102,3,1,1
102,3,2,1
103,1,1,1
103,1,2,1
103,3,1,1
103,3,2,1
104,1,1,1
104,1,2,1
105,1,1,1
105,1,2,1
105,1,3,1
105,1,4,1
105,3,1,1
105,3,2,1
105,4,1,1
105,4,2,1
105,5,1,1
105,5,2,1
106,1,1,1
106,1,2,1
106,3,1,1
106,3,2,1
107,1,1,1
107,1,2,1
107,3,1,1
107,3,2,1
108,1,1,1
108,1,2,1
108,2,1,1
108,2,2,1
109,1,1,1
109,1,2,1
109,2,1,1
109,2,2,1
110,2,1,1
110,2,2,1
111,1,1,1
111,1,2,1
111,1,3,1
111,1,4,1
111,4,1,1
111,4,2,1
112,1,1,1
112,1,2,1
113,1,1,1
113,1,2,1
113,1,3,1
115,1,1,1
115,1,2,1
115,1,3,1
115,1,4,1
115,2,1,1
115,2,2,1
115,2,3,1
115,2,4,1
115,3,1,1
115,3,2,1
115,4,1,1
115,4,2,1
115,5,1,1
115,5,2,1
115,5,3,1
115,5,4,1
118,1,1,1
118,1,2,1
118,3,1,1
118,3,2,1
119,1,1,1
119,1,2,1
120,1,1,1
120,1,2,1
120,1,3,1
120,1,4,1
120,3,1,1
120,3,2,1
121,1,1,1
121,1,2,1
121,1,3,1
121,1,4,1
121,1,5,1
121,3,1,1
121,3,2,1
121,4,1,1
121,4,2,1
121,5,1,1
121,5,2,1
122,1,1,1
122,1,2,1
122,1,3,1
122,3,1,1
122,3,2,1
122,4,1,1
122,4,2,1
123,1,1,1
123,1,2,1
123,2,1,1
123,2,2,1
123,4,1,1
123,4,2,1
123,5,1,1
123,5,2,1
124,1,1,1
124,1,2,1
124,5,1,1
124,5,2,1
124,6,1,1
124,6,2,1
125,1,1,1
125,1,2,1
126,1,1,1
126,1,2,1
126,2,1,1
126,2,2,1
127,1,1,1
127,1,2,1
127,2,1,1
127,2,2,1
127,2,3,1
127,2,4,1
128,3,1,1
128,3,2,1
128,4,1,1
128,4,2,1
130,2,1,1
130,2,2,1
130,3,1,1
130,3,2,1
130,4,1,1
130,4,2,1
131,3,1,1
131,3,2,1
131,3,3,1
131,3,4,1
133,1,1,1
133,1,2,1
134,1,1,1
134,1,2,1
134,3,1,1
134,3,2,1
134,3,3,1
134,3,4,1
134,3,5,1
134,3,6,1
134,4,1,1
134,4,2,1
134,5,1,1
134,5,2,1
135,1,1,1
135,1,2,1
136,1,1,1
136,1,2,1
136,1,3,1
136,1,4,1
137,2,1,1
137,2,2,1
138,2,1,1
138,2,2,1
138,3,1,1
138,3,2,1
138,4,1,1
138,4,2,1
139,1,1,1
139,1,2,1
139,2,1,1
139,2,2,1
139,3,1,1
139,3,2,1
139,4,1,1
139,4,2,1
140,1,1,1
140,1,2,1
141,1,1,1
141,1,2,1
141,2,1,1
141,2,2,1
141,3,1,1
141,3,2,1
141,4,1,1
141,4,2,1
141,5,1,1
141,5,2,1
142,1,1,1
142,1,2,1
142,1,3,1
142,2,1,1
142,2,2,1
142,3,1,1
142,3,2,1
142,3,3,1
142,3,4,1
142,4,1,1
142,4,2,1
142,5,1,1
142,5,2,1
143,2,1,1
143,2,2,1
145,1,1,1
145,1,2,1
145,1,3,1
145,3,1,1
145,3,2,1
146,1,1,1
146,1,2,1
146,3,1,1
146,3,2,1
146,4,1,1
146,4,2,1
147,1,1,1
147,1,2,1
147,2,1,1
147,2,2,1
148,1,1,1
148,1,2,1
148,2,1,1
148,2,2,1
149,2,1,1
149,2,2,1
150,1,1,1
153,2,1,1
153,2,2,1
155,3,1,1
155,3,2,1
156,2,1,1
156,2,2,1
156,3,1,1
156,3,2,1
156,4,1,1
156,4,2,1
157,2,1,1
157,2,2,1
157,3,1,1
157,3,2,1
157,3,3,1
157,3,4,1
157,3,5,1
157,4,1,1
157,4,2,1
158,1,1,1
158,1,2,1
158,2,1,1
158,2,2,1
158,3,1,1
158,3,2,1
159,2,1,1
159,4,1,1
159,4,2,1
159,5,1,1
159,5,2,1
159,6,1,1
159,6,2,1
160,1,1,1
160,1,2,1
160,3,1,1
160,3,2,1
160,4,1,1
160,4,2,1
160,5,1,1
160,5,2,1
161,2,1,1
161,2,2,1
161,3,1,1
161,3,2,1
161,3,3,1
161,3,4,1
162,1,1,1
162,1,2,1
162,2,1,1
162,2,2,1
163,1,1,1
163,1,2,1
163,3,1,1
163,3,2,1
164,1,1,1
164,1,2,1
164,2,1,1
164,2,2,1
165,1,1,1
165,1,2,1
165,2,1,1
165,2,2,1
166,1,1,1
166,1,2,1
166,3,1,1
166,3,2,1
166,4,1,1
166,4,2,1
166,5,1,1
166,5,2,1
167,1,1,1
167,1,2,1
167,3,1,1
167,3,2,1
167,4,1,1
167,4,2,1
167,5,1,1
167,5,2,1
168,1,1,1
168,1,2,1
168,1,3,1
169,2,1,1
169,2,2,1
170,1,1,1
170,1,2,1
170,1,3,1
170,1,4,1
170,1,5,1
170,1,6,1
170,1,7,1
170,2,1,1
170,2,2,1
170,3,1,1
170,3,2,1
170,4,1,1
170,4,2,1
170,5,1,1
170,5,2,1
172,1,1,1
172,1,2,1
172,1,3,1
172,2,1,1
172,2,2,1
172,5,1,1
172,5,2,1
173,1,1,1
173,1,2,1
173,1,3,1
173,2,1,1
173,2,2,1
173,2,3,1
173,4,1,1
173,4,2,1
174,2,1,1
174,2,2,1
174,2,3,1
174,2,4,1
174,3,1,1
174,3,2,1
174,4,1,1
174,4,2,1
175,1,1,1
175,1,2,1
175,2,1,1
175,2,2,1
175,2,3,1
175,3,1,1
175,3,2,1
175,3,3,1
175,4,1,1
175,4,2,1
175,4,3,1
175,5,1,1
176,1,1,1
176,1,2,1
177,1,1,1
177,1,2,1
177,2,1,1
177,2,2,1
177,3,1,1
177,3,2,1
177,4,1,1
177,4,2,1
178,1,1,1
178,1,2,1
178,1,3,1
178,1,4,1
178,1,5,1
178,1,6,1
178,2,1,1
178,2,2,1
178,3,1,1
178,3,2,1
178,3,3,1
178,4,1,1
178,4,2,1
178,4,3,1
178,4,4,1
178,4,5,1
178,5,1,1
178,5,2,1
178,5,3,1
179,2,1,1
179,2,2,1
179,2,3,1
179,2,4,1
179,4,1,1
179,4,2,1
181,1,1,1
181,1,2,1
181,2,1,1
181,2,2,1
182,2,1,1
182,2,2,1
182,3,1,1
182,3,2,1
182,4,1,1
182,4,2,1
182,5,1,1
182,5,2,1
185,1,1,1
185,1,2,1
185,3,1,1
185,3,2,1
187,1,1,1
187,1,2,1
187,2,1,1
187,2,2,1
187,3,1,1
187,3,2,1
187,4,1,1
187,4,2,1
187,5,1,1
187,5,2,1
191,1,1,1
191,1,2,1
191,2,1,1
191,2,2,1
194,1,1,1
194,1,2,1
194,2,1,1
194,2,2,1
198,1,1,1
198,1,2,1
199,1,1,1
199,1,2,1
200,1,1,1
200,1,2,1
201,1,1,1
201,1,2,1
201,1,3,1
201,1,4,1
201,2,1,1
201,2,2,1
202,1,1,1
202,1,2,1
202,1,3,1
202,1,4,1
202,2,1,1
202,2,2,1
202,3,1,1
202,3,2,1
203,1,1,1
203,1,2,1
206,1,1,1
206,1,2,1
206,1,3,1
211,2,1,1
211,2,2,1
212,1,1,1
212,1,2,1
213,1,1,1
213,1,2,1
213,1,3,1
213,1,4,1
213,2,1,1
213,2,2,1
213,2,3,1
213,2,4,1
214,1,1,1
214,1,2,1
214,1,3,1
214,1,4,1
214,2,1,1
214,2,2,1
214,2,3,1
214,2,4,1
214,3,1,1
214,3,2,1
216,1,1,1
216,1,2,1
216,2,1,1
216,2,2,1
217,1,1,1
217,1,2,1
218,2,1,1
218,2,2,1
218,3,1,1
218,3,2,1
218,4,1,1
218,4,2,1
218,5,1,1
218,5,2,1
220,1,1,1
220,1,2,1
220,2,1,1
220,2,2,1
220,2,3,1
220,2,4,1
220,3,1,1
220,3,2,1
220,4,1,1
220,4,2,1
222,1,1,1
224,1,1,1
224,1,2,1
225,1,1,1
225,1,2,1
226,2,1,1
226,2,2,1
226,2,3,1
226,2,4,1
226,3,1,1
226,3,2,1
226,4,1,1
226,4,2,1
227,1,1,1
227,1,2,1
230,1,1,1
230,1,2,1
230,1,3,1
230,1,4,1
230,3,1,1
230,3,2,1
231,1,1,1
231,1,2,1
232,1,1,1
232,1,2,1
232,1,3,1
232,1,4,1
232,2,1,1
232,2,2,1
232,4,1,1
232,4,2,1
232,5,1,1
232,5,2,1
232,6,1,1
232,6,2,1
233,4,1,1
233,4,2,1
233,5,1,1
233,5,2,1
234,1,1,1
234,1,2,1
234,2,1,1
234,2,2,1
234,2,3,1
234,3,1,1
234,3,2,1
234,4,1,1
234,4,2,1
235,2,1,1
235,2,2,1
237,1,1,1
237,1,2,1
237,1,3,1
237,1,4,1
237,2,1,1
237,2,2,1
237,2,3,1
237,3,1,1
237,3,2,1
238,1,1,1
238,1,2,1
238,2,1,1
238,2,2,1
238,2,3,1
238,2,4,1
238,3,1,1
238,3,2,1
239,2,1,1
239,2,2,1
239,3,1,1
239,3,2,1
239,3,3,1
239,3,4,1
239,4,1,1
239,4,2,1
239,5,1,1
239,5,2,1
239,6,1,1
239,6,2,1
243,2,1,1
243,2,2,1
243,3,1,1
243,3,2,1
243,3,3,1
243,3,4,1
243,4,1,1
243,4,2,1
243,4,3,1
243,4,4,1
243,5,1,1
243,5,2,1
244,2,1,1
244,2,2,1
245,1,1,1
245,1,2,1
245,1,3,1
245,1,4,1
245,1,5,1
245,1,6,1
245,6,1,1
245,6,2,1
246,1,1,1
246,1,2,1
246,2,1,1
246,2,2,1
247,2,1,1
247,2,2,1
248,1,1,1
248,1,2,1
248,2,1,1
248,2,2,1
248,3,1,1
248,3,2,1
249,1,1,1
249,1,2,1
249,1,3,1
249,1,4,1
249,3,1,1
249,3,2,1
249,4,1,1
249,4,2,1
250,1,1,1
250,1,2,1
250,2,1,1
250,2,2,1
250,5,1,1
250,5,2,1
251,1,1,1
251,1,2,1
252,1,1,1
252,1,2,1
252,1,3,1
252,2,1,1
252,2,2,1
252,3,1,1
252,3,2,1
252,3,3,1
252,3,4,1
252,4,1,1
