id_hogar,id_persona,id_viaje.1
1,2,2
2,1,2
3,1,3
4,1,2
4,2,2
5,3,3
5,4,2
6,1,7
6,2,4
6,3,4
6,4,3
6,5,3
7,1,5
7,3,2
7,4,2
8,2,2
9,1,3
9,3,3
9,5,2
9,6,2
9,7,2
10,1,3
10,2,2
10,3,2
10,4,2
10,5,2
12,1,2
13,2,2
13,3,2
17,1,3
17,2,2
18,1,4
18,2,2
18,3,2
19,1,2
20,1,4
20,2,2
21,1,2
22,1,4
22,2,1
22,3,2
22,4,4
23,1,2
28,3,2
29,1,4
29,2,2
30,2,2
30,3,2
30,4,2
30,5,4
30,6,2
31,1,4
31,2,2
31,3,2
31,4,2
32,2,4
32,3,2
32,4,2
33,1,3
34,1,2
34,2,2
35,2,2
38,1,4
38,2,4
38,3,4
38,4,4
38,5,4
39,1,2
40,2,2
43,2,2
44,1,3
44,2,2
45,1,3
45,3,2
45,4,2
45,5,2
46,3,2
46,4,2
48,1,2
48,2,2
49,1,2
50,1,2
51,1,2
51,6,2
53,1,2
54,1,2
55,1,2
55,2,2
56,1,4
56,2,2
56,3,2
56,4,2
57,1,2
57,2,2
57,4,2
58,1,2
58,2,2
59,1,2
59,2,4
59,3,2
59,4,2
59,5,2
60,1,2
60,2,2
61,2,2
61,3,2
62,1,4
62,2,2
62,3,2
62,5,2
63,1,2
64,2,2
66,2,2
66,3,2
66,4,2
66,5,2
67,1,2
68,1,2
68,2,2
68,3,2
68,6,2
69,1,2
70,1,6
70,2,4
70,3,2
72,1,4
72,4,4
73,1,2
74,1,6
74,2,2
74,3,4
74,4,2
74,5,2
75,1,2
75,2,2
76,1,4
78,2,2
78,3,2
78,4,2
79,1,2
80,2,2
81,2,4
81,3,2
81,4,2
82,1,2
83,1,2
84,1,2
85,2,2
85,3,2
85,4,2
86,1,2
87,1,2
87,3,2
87,5,2
87,6,2
88,1,2
89,1,2
89,2,4
89,3,2
91,1,2
92,1,2
93,1,4
93,2,2
93,3,2
93,4,2
93,5,2
93,6,4
93,7,4
94,3,2
95,1,4
95,4,2
95,5,4
96,1,4
96,2,4
96,3,2
97,2,2
98,1,4
98,2,2
98,3,2
98,4,2
98,5,2
99,1,2
99,2,2
100,1,2
101,1,2
101,2,2
101,3,2
102,1,2
102,3,2
103,1,2
103,3,2
104,1,2
105,1,4
105,3,2
105,4,2
105,5,2
106,1,2
106,3,2
107,1,2
107,3,2
108,1,2
108,2,2
109,1,2
109,2,2
110,2,2
111,1,4
111,4,2
112,1,2
113,1,3
115,1,4
115,2,4
115,3,2
115,4,2
115,5,4
118,1,2
118,3,2
119,1,2
120,1,4
120,3,2
121,1,5
121,3,2
121,4,2
121,5,2
122,1,3
122,3,2
122,4,2
123,1,2
123,2,2
123,4,2
123,5,2
124,1,2
124,5,2
124,6,2
125,1,2
126,1,2
126,2,2
127,1,2
127,2,4
128,3,2
128,4,2
130,2,2
130,3,2
130,4,2
131,3,4
133,1,2
134,1,2
134,3,6
134,4,2
134,5,2
135,1,2
136,1,4
137,2,2
138,3,2
138,4,2
139,1,2
139,2,2
139,3,2
139,4,2
140,1,2
141,1,2
141,2,2
141,3,2
141,4,2
141,5,2
142,1,3
142,2,2
142,3,4
142,4,2
142,5,2
143,2,2
145,1,3
145,3,2
146,1,2
146,3,2
146,4,2
147,1,2
147,2,2
148,1,2
148,2,2
149,2,2
150,1,1
153,2,2
155,3,2
156,2,2
156,3,2
156,4,2
157,2,2
157,3,5
157,4,2
158,1,2
159,2,1
159,4,2
159,5,2
159,6,2
160,1,2
160,3,2
160,4,2
160,5,2
161,2,2
161,3,4
162,1,2
162,2,2
163,1,2
163,3,2
164,1,2
164,2,2
165,1,2
165,2,2
166,1,2
166,3,2
166,4,2
166,5,2
167,1,2
167,3,2
167,4,2
167,5,2
168,1,3
169,2,2
170,1,7
170,2,2
170,3,2
170,4,2
170,5,2
172,1,3
172,2,2
172,5,2
173,1,3
173,2,3
173,4,2
174,2,4
174,3,2
174,4,2
175,1,2
175,2,3
175,3,3
175,4,3
175,5,1
176,1,2
177,1,2
177,2,2
177,3,2
177,4,2
178,1,6
178,2,2
178,3,3
178,4,5
178,5,3
179,2,4
179,4,2
181,1,2
181,2,2
182,2,2
182,3,2
182,4,2
182,5,2
185,1,2
185,3,2
187,1,2
187,2,2
187,3,2
187,4,2
187,5,2
191,1,2
191,2,2
194,1,2
194,2,2
198,1,2
199,1,2
200,1,2
201,1,4
201,2,2
202,1,4
202,2,2
202,3,2
203,1,2
206,1,3
211,2,2
212,1,2
213,1,4
213,2,4
214,1,4
214,2,4
214,3,2
216,1,2
216,2,2
217,1,2
218,2,2
218,3,2
218,4,2
218,5,2
220,1,2
220,2,4
220,3,2
220,4,2
222,1,1
224,1,2
225,1,2
226,2,4
226,3,2
226,4,2
227,1,2
230,1,4
230,3,2
231,1,2
232,1,4
232,2,2
232,4,2
232,5,2
232,6,2
233,4,2
233,5,2
234,1,2
234,2,3
234,3,2
234,4,2
235,2,2
237,1,4
237,2,3
237,3,2
238,1,2
238,2,4
238,3,2
239,2,2
239,3,4
239,4,2
239,5,2
239,6,2
243,2,2
243,3,4
243,4,4
243,5,2
244,2,2
245,1,6
245,6,2
246,1,2
246,2,2
247,2,2
248,1,2
248,2,2
248,3,2
249,1,4
249,3,2
249,4,2
250,1,2
250,2,2
250,5,2
251,1,2
252,1,3
252,2,2
252,3,4
252,4,3
253,1,2
254,1,2
254,2,4
254,3,2
254,4,2
254,5,2
255,1,4
256,1,2
257,1,2
258,2,2
259,1,2
259,2,1
260,1,2
261,1,2
262,1,2
263,1,2
264,1,2
265,1,2
266,1,2
267,1,2
269,1,5
269,2,5
269,3,2
269,4,2
269,5,2
271,1,3
271,2,3
271,3,3
271,4,3
271,5,3
272,6,2
273,1,2
273,2,2
275,1,2
279,1,2
280,1,2
283,1,1
284,2,2
285,2,2
285,3,2
286,1,2
287,1,2
288,2,1
289,1,2
289,2,2
290,1,3
290,2,6
290,3,2
290,4,2
292,1,2
293,1,2
293,2,2
294,1,2
295,1,4
295,2,2
296,1,4
296,3,2
297,1,2
298,1,2
299,1,4
300,2,2
301,1,2
301,2,5
301,3,2
302,1,6
303,1,2
303,2,2
303,3,2
304,1,2
305,1,6
305,2,4
305,3,2
305,4,2
306,1,2
306,2,2
306,3,2
307,1,2
309,1,3
310,2,2
311,1,2
311,2,2
311,3,2
311,4,2
312,4,2
313,1,2
313,2,2
313,3,2
313,4,2
313,5,2
315,1,2
316,1,2
316,2,2
317,1,3
317,2,2
318,2,2
319,2,2
321,1,1
321,2,1
322,1,2
322,2,4
322,3,2
322,4,2
322,5,2
322,6,2
323,1,2
323,2,2
324,2,2
325,1,2
325,3,2
326,3,1
327,1,2
327,2,3
327,3,2
327,4,2
328,1,6
328,2,2
328,3,2
328,4,2
329,1,2
329,2,4
329,3,2
329,4,2
330,1,2
330,3,2
331,2,2
331,3,4
331,5,2
332,1,4
332,2,2
332,3,2
332,4,2
333,1,2
333,2,2
334,1,4
334,3,2
334,4,2
335,1,3
335,4,2
335,5,2
336,1,2
336,2,2
336,3,2
337,1,6
338,1,4
338,2,2
338,3,2
338,4,2
338,5,2
340,1,4
340,3,2
341,2,6
341,3,3
341,4,3
342,1,1
342,2,4
342,3,2
343,1,2
343,2,4
343,3,2
343,4,2
344,1,4
344,2,4
344,3,2
345,2,2
345,3,2
345,4,2
345,6,4
346,1,2
346,2,2
347,1,2
347,2,2
347,3,2
347,4,2
348,1,2
349,1,2
349,3,2
349,4,2
349,5,2
351,2,2
351,3,2
352,1,6
353,1,4
353,2,8
354,1,4
355,1,8
355,2,2
355,3,2
355,4,3
356,1,2
356,2,2
356,3,2
357,1,2
357,2,4
357,3,2
357,4,2
357,5,2
357,6,2
358,1,2
358,2,2
358,3,2
359,1,2
360,1,3
361,1,2
361,2,2
362,1,2
362,2,2
362,3,2
363,1,2
364,1,3
364,2,5
364,3,5
364,4,3
364,5,3
365,1,2
365,2,2
365,3,2
366,1,1
366,2,1
367,1,2
367,2,2
367,3,2
368,1,4
368,2,4
368,3,3
369,1,2
369,2,2
370,1,2
370,2,2
370,3,2
371,1,4
377,1,4
377,2,2
377,3,2
377,4,2
377,5,2
378,2,2
379,1,2
379,5,2
380,1,2
380,2,2
381,2,2
381,3,2
383,1,2
385,1,2
386,1,2
386,2,2
387,1,2
387,2,2
